"","season","stage","date","home_team_goal","away_team_goal","country","league","home_team","away_team","B365H","B365D","B365A","home_shoton","away_shoton","home_shotoff","away_shotoff","home_foulcommit","away_foulcommit","home_card","away_card","home_cross","away_cross","home_corner","away_corner"
"17115","2011/2012",31,"2012-04-07 00:00:00",1,1,"France","France Ligue 1","AC Ajaccio","AS Saint-Étienne",3,3,2.5,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA
"17116","2008/2009",28,"2009-03-15 00:00:00",1,0,"France","France Ligue 1","Grenoble Foot 38","AS Saint-Étienne",2.6,2.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17117","2013/2014",3,"2013-08-25 00:00:00",1,0,"France","France Ligue 1","LOSC Lille","AS Saint-Étienne",1.95,3.25,4.2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA
"17118","2015/2016",18,"2015-12-13 00:00:00",1,0,"France","France Ligue 1","AS Monaco","AS Saint-Étienne",2.05,3.25,4,4,3,6,5,23,16,3,4,22,12,10,5
"17119","2014/2015",16,"2014-12-03 00:00:00",0,2,"France","France Ligue 1","Montpellier Hérault SC","AS Saint-Étienne",3.2,3,2.5,4,5,4,1,11,21,2,2,28,16,6,3
"17120","2010/2011",5,"2010-09-11 00:00:00",0,1,"France","France Ligue 1","Toulouse FC","AS Saint-Étienne",1.8,3.25,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17121","2014/2015",4,"2014-08-31 00:00:00",5,0,"France","France Ligue 1","Paris Saint-Germain","AS Saint-Étienne",1.53,3.8,6.5,8,5,3,1,7,14,0,1,8,15,4,7
"17122","2013/2014",26,"2014-02-22 00:00:00",0,2,"France","France Ligue 1","SC Bastia","AS Saint-Étienne",3.5,3.1,2.2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA
"17123","2015/2016",9,"2015-10-04 00:00:00",1,0,"France","France Ligue 1","SM Caen","AS Saint-Étienne",2.45,3.2,2.88,8,5,5,4,10,13,0,3,10,19,5,7
"17124","2015/2016",24,"2016-02-04 00:00:00",0,1,"France","France Ligue 1","Stade Rennais FC","AS Saint-Étienne",2.25,3.1,3.5,2,6,4,7,9,16,2,2,11,28,4,8
"17125","2009/2010",30,"2010-03-28 00:00:00",4,0,"France","France Ligue 1","FC Lorient","AS Saint-Étienne",2.05,3.1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17126","2009/2010",20,"2010-01-16 00:00:00",1,2,"France","France Ligue 1","Grenoble Foot 38","AS Saint-Étienne",2.5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17127","2009/2010",11,"2009-12-16 00:00:00",1,0,"France","France Ligue 1","Le Mans FC","Grenoble Foot 38",2,3.1,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17128","2008/2009",16,"2008-12-10 00:00:00",0,0,"France","France Ligue 1","OGC Nice","Grenoble Foot 38",1.67,3.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17129","2008/2009",33,"2009-04-26 00:00:00",0,1,"France","France Ligue 1","Le Havre AC","Grenoble Foot 38",2.9,3.1,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17130","2009/2010",22,"2010-01-30 00:00:00",4,0,"France","France Ligue 1","Stade Rennais FC","Grenoble Foot 38",1.4,4.2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17131","2009/2010",32,"2010-04-10 00:00:00",4,0,"France","France Ligue 1","Toulouse FC","Grenoble Foot 38",1.57,3.6,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17132","2008/2009",29,"2009-03-21 00:00:00",2,1,"France","France Ligue 1","LOSC Lille","Grenoble Foot 38",1.5,3.6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17133","2008/2009",26,"2009-02-28 00:00:00",1,1,"France","France Ligue 1","FC Nantes","Grenoble Foot 38",2.15,3,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17134","2009/2010",28,"2010-03-14 00:00:00",1,0,"France","France Ligue 1","LOSC Lille","Grenoble Foot 38",1.3,4.75,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17135","2009/2010",9,"2009-10-17 00:00:00",2,0,"France","France Ligue 1","Valenciennes FC","Grenoble Foot 38",1.57,3.6,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17136","2008/2009",22,"2009-01-31 00:00:00",1,0,"France","France Ligue 1","AS Monaco","Grenoble Foot 38",2.05,3.1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17137","2008/2009",14,"2008-11-15 00:00:00",2,0,"France","France Ligue 1","Toulouse FC","Grenoble Foot 38",2,3.1,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17138","2008/2009",20,"2009-01-10 00:00:00",1,0,"France","France Ligue 1","Stade Rennais FC","Grenoble Foot 38",1.57,3.6,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17139","2009/2010",19,"2009-12-23 00:00:00",4,0,"France","France Ligue 1","Paris Saint-Germain","Grenoble Foot 38",1.44,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17140","2009/2010",4,"2009-08-29 00:00:00",1,0,"France","France Ligue 1","AS Saint-Étienne","Grenoble Foot 38",1.73,3.3,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17141","2008/2009",9,"2008-10-18 00:00:00",2,2,"France","France Ligue 1","SM Caen","Grenoble Foot 38",1.91,3.1,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17142","2008/2009",12,"2008-11-01 00:00:00",1,1,"France","France Ligue 1","FC Lorient","Grenoble Foot 38",2.2,2.9,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17143","2008/2009",10,"2008-10-26 00:00:00",0,2,"France","France Ligue 1","AS Saint-Étienne","Grenoble Foot 38",1.73,3.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17144","2009/2010",5,"2009-09-12 00:00:00",1,0,"France","France Ligue 1","Girondins de Bordeaux","Grenoble Foot 38",1.29,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17145","2008/2009",37,"2009-05-23 00:00:00",1,1,"France","France Ligue 1","Le Mans FC","Grenoble Foot 38",1.6,3.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17146","2009/2010",2,"2009-08-16 00:00:00",2,1,"France","France Ligue 1","US Boulogne Cote D'Opale","Grenoble Foot 38",2.38,3,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17147","2009/2010",24,"2010-02-13 00:00:00",1,0,"France","France Ligue 1","Montpellier Hérault SC","Grenoble Foot 38",1.53,3.75,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17148","2008/2009",5,"2008-09-13 00:00:00",1,1,"France","France Ligue 1","Valenciennes FC","Grenoble Foot 38",2.1,3.1,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17149","2008/2009",3,"2008-08-23 00:00:00",2,0,"France","France Ligue 1","Olympique Lyonnais","Grenoble Foot 38",1.29,4.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17150","2009/2010",38,"2010-05-15 00:00:00",2,0,"France","France Ligue 1","Olympique de Marseille","Grenoble Foot 38",1.25,5.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17151","2009/2010",30,"2010-03-27 00:00:00",2,0,"France","France Ligue 1","Olympique Lyonnais","Grenoble Foot 38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17152","2009/2010",34,"2010-04-24 00:00:00",2,1,"France","France Ligue 1","OGC Nice","Grenoble Foot 38",1.57,3.6,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17153","2009/2010",7,"2009-09-26 00:00:00",2,0,"France","France Ligue 1","AJ Auxerre","Grenoble Foot 38",1.67,3.4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17154","2009/2010",36,"2010-05-05 00:00:00",1,1,"France","France Ligue 1","RC Lens","Grenoble Foot 38",1.55,3.8,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17155","2009/2010",15,"2009-11-28 00:00:00",2,2,"France","France Ligue 1","FC Lorient","Grenoble Foot 38",1.5,3.75,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17156","2009/2010",26,"2010-02-27 00:00:00",0,2,"France","France Ligue 1","AS Nancy-Lorraine","Grenoble Foot 38",1.73,3.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17157","2009/2010",17,"2009-12-13 00:00:00",1,0,"France","France Ligue 1","FC Sochaux-Montbéliard","Grenoble Foot 38",1.8,3.3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17158","2008/2009",35,"2009-05-13 00:00:00",2,0,"France","France Ligue 1","AJ Auxerre","Grenoble Foot 38",1.95,3.1,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17159","2008/2009",18,"2008-12-13 00:00:00",2,0,"France","France Ligue 1","AS Nancy-Lorraine","Grenoble Foot 38",1.91,3.1,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17160","2008/2009",7,"2008-09-27 00:00:00",0,1,"France","France Ligue 1","Paris Saint-Germain","Grenoble Foot 38",1.57,3.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17161","2009/2010",13,"2009-11-07 00:00:00",0,0,"France","France Ligue 1","AS Monaco","Grenoble Foot 38",1.33,4.75,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17162","2008/2009",1,"2008-08-09 00:00:00",1,2,"France","France Ligue 1","FC Sochaux-Montbéliard","Grenoble Foot 38",1.91,3.2,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17163","2008/2009",31,"2009-04-12 00:00:00",4,1,"France","France Ligue 1","Olympique de Marseille","Grenoble Foot 38",1.33,4.5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17164","2008/2009",24,"2009-02-14 00:00:00",1,1,"France","France Ligue 1","Girondins de Bordeaux","Grenoble Foot 38",1.36,4.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17165","2012/2013",19,"2013-01-06 00:00:00",2,0,"Italy","Italy Serie A","Genoa","Bologna",2.3,3.2,3.2,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA
"17166","2015/2016",27,"2016-02-28 00:00:00",0,0,"Italy","Italy Serie A","Palermo","Bologna",2.63,3.2,2.7,5,7,2,10,16,11,3,1,21,10,7,4
"17167","2010/2011",31,"2011-04-02 00:00:00",3,1,"Italy","Italy Serie A","Brescia","Bologna",1.45,4.2,6,14,6,4,3,19,16,1,4,27,9,9,2
"17168","2015/2016",36,"2016-05-01 00:00:00",0,0,"Italy","Italy Serie A","Empoli","Bologna",2.25,3.2,3.3,3,9,2,7,7,13,0,2,10,4,0,3
"17169","2013/2014",6,"2013-09-29 00:00:00",5,0,"Italy","Italy Serie A","Roma","Bologna",1.33,5,9,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
"17170","2008/2009",8,"2008-10-26 00:00:00",2,0,"Italy","Italy Serie A","Sampdoria","Bologna",1.7,3.3,5.75,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"17171","2010/2011",17,"2010-12-19 00:00:00",0,0,"Italy","Italy Serie A","Parma","Bologna",1.75,3.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17172","2013/2014",23,"2014-02-09 00:00:00",1,2,"Italy","Italy Serie A","Torino","Bologna",1.57,3.75,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17173","2013/2014",21,"2014-01-26 00:00:00",1,1,"Italy","Italy Serie A","Sampdoria","Bologna",1.75,3.4,5,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA
"17174","2011/2012",2,"2011-09-11 00:00:00",2,0,"Italy","Italy Serie A","Fiorentina","Bologna",1.62,3.4,6.5,5,5,9,9,17,10,1,1,19,6,12,1
"17175","2008/2009",1,"2008-08-31 00:00:00",1,2,"Italy","Italy Serie A","Milan","Bologna",1.3,4.75,12,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
"17176","2008/2009",28,"2009-03-14 00:00:00",4,1,"Italy","Italy Serie A","Juventus","Bologna",1.4,4.2,9,8,3,10,3,21,16,1,3,16,7,7,4
"17177","2009/2010",22,"2010-01-31 00:00:00",1,1,"Italy","Italy Serie A","Chievo Verona","Bologna",2,3.1,4.2,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA
"17178","2011/2012",16,"2011-12-18 00:00:00",2,1,"Italy","Italy Serie A","Genoa","Bologna",1.8,3.4,4.75,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA
"17179","2010/2011",37,"2011-05-15 00:00:00",1,1,"Italy","Italy Serie A","Fiorentina","Bologna",1.73,3,6.5,6,3,10,4,11,16,2,4,18,9,7,3
"17180","2015/2016",25,"2016-02-14 00:00:00",0,1,"Italy","Italy Serie A","Udinese","Bologna",2.1,3.2,3.8,3,5,8,5,15,11,0,1,20,8,8,5
"17181","2009/2010",26,"2010-02-28 00:00:00",3,4,"Italy","Italy Serie A","Genoa","Bologna",1.67,3.5,5.5,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"17182","2013/2014",3,"2013-09-15 00:00:00",1,1,"Italy","Italy Serie A","Udinese","Bologna",1.8,3.5,4.5,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA
"17183","2011/2012",4,"2011-09-21 00:00:00",1,1,"Italy","Italy Serie A","Juventus","Bologna",1.4,4.33,8.5,9,7,5,6,18,21,5,5,27,12,11,5
"17184","2011/2012",11,"2011-11-05 00:00:00",3,1,"Italy","Italy Serie A","Palermo","Bologna",1.67,3.5,5.5,4,14,3,0,19,15,3,2,12,30,5,9
"17185","2010/2011",3,"2010-09-19 00:00:00",2,2,"Italy","Italy Serie A","Roma","Bologna",1.4,4.33,8,5,6,6,12,11,17,1,5,17,22,9,6
"17186","2011/2012",13,"2011-11-27 00:00:00",1,1,"Italy","Italy Serie A","Cagliari","Bologna",1.85,3.3,4.5,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA
"17187","2012/2013",12,"2012-11-11 00:00:00",1,0,"Italy","Italy Serie A","Torino","Bologna",2,3.1,4.2,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA
"17188","2009/2010",8,"2009-10-18 00:00:00",2,1,"Italy","Italy Serie A","Napoli","Bologna",1.55,3.75,6.5,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA
"17189","2010/2011",23,"2011-02-02 00:00:00",1,1,"Italy","Italy Serie A","Udinese","Bologna",1.44,4,8,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"17190","2010/2011",20,"2011-01-15 00:00:00",4,1,"Italy","Italy Serie A","Inter","Bologna",1.3,4.75,12,4,5,6,9,8,14,NA,NA,13,12,4,6
"17191","2012/2013",21,"2013-01-20 00:00:00",2,1,"Italy","Italy Serie A","Milan","Bologna",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
"17192","2008/2009",23,"2009-02-08 00:00:00",1,0,"Italy","Italy Serie A","Udinese","Bologna",1.72,3.25,5.5,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA
"17193","2009/2010",20,"2010-01-17 00:00:00",1,2,"Italy","Italy Serie A","Fiorentina","Bologna",1.5,3.75,7.5,13,2,10,3,14,14,0,2,20,3,12,0
"17194","2009/2010",18,"2010-01-06 00:00:00",1,0,"Italy","Italy Serie A","Catania","Bologna",2,3.2,4,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA
"17195","2008/2009",30,"2009-04-05 00:00:00",2,1,"Italy","Italy Serie A","Roma","Bologna",1.5,3.75,7.5,4,6,9,8,17,17,2,3,22,26,7,6
"17196","2012/2013",37,"2013-05-12 00:00:00",0,2,"Italy","Italy Serie A","Parma","Bologna",1.73,3.3,4.75,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA
"17197","2008/2009",3,"2008-09-21 00:00:00",1,0,"Italy","Italy Serie A","Fiorentina","Bologna",1.53,3.6,7.5,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA
"17198","2012/2013",3,"2012-09-16 00:00:00",2,3,"Italy","Italy Serie A","Roma","Bologna",1.4,4.75,7.5,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,NA
"17199","2013/2014",34,"2014-04-19 00:00:00",1,0,"Italy","Italy Serie A","Juventus","Bologna",1.17,7,15,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA
"17200","2008/2009",19,"2009-01-18 00:00:00",1,2,"Italy","Italy Serie A","Catania","Bologna",1.95,3,4.5,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA
"17201","2008/2009",10,"2008-11-02 00:00:00",5,1,"Italy","Italy Serie A","Cagliari","Bologna",2,2.9,4.5,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"17202","2008/2009",26,"2009-02-28 00:00:00",2,0,"Italy","Italy Serie A","Lazio","Bologna",1.66,3.4,6,4,3,15,4,16,13,2,2,15,19,5,5
"17203","2015/2016",23,"2016-02-03 00:00:00",1,0,"Italy","Italy Serie A","Frosinone","Bologna",3.1,3.25,2.4,10,10,8,7,16,15,2,6,13,16,7,4
"17204","2009/2010",9,"2009-10-24 00:00:00",4,1,"Italy","Italy Serie A","Sampdoria","Bologna",1.53,3.75,7,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA
"17205","2015/2016",14,"2015-11-28 00:00:00",2,0,"Italy","Italy Serie A","Torino","Bologna",1.62,3.8,6,7,2,4,1,8,10,0,1,20,4,7,2
"17206","2013/2014",18,"2014-01-06 00:00:00",2,0,"Italy","Italy Serie A","Catania","Bologna",2.1,3.2,3.6,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA
"17207","2009/2010",4,"2009-09-20 00:00:00",1,0,"Italy","Italy Serie A","Milan","Bologna",1.33,4.75,10,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
"17208","2009/2010",24,"2010-02-14 00:00:00",0,1,"Italy","Italy Serie A","Livorno","Bologna",2.4,3,3.2,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA
"17209","2009/2010",31,"2010-03-27 00:00:00",3,1,"Italy","Italy Serie A","Palermo","Bologna",1.62,3.6,6,1,4,8,6,18,15,1,3,9,22,2,7
"17210","2012/2013",30,"2013-03-30 00:00:00",0,0,"Italy","Italy Serie A","Udinese","Bologna",2,3.2,4,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA
"17211","2015/2016",16,"2015-12-12 00:00:00",0,1,"Italy","Italy Serie A","Genoa","Bologna",1.91,3.4,4.33,13,4,6,3,13,19,1,4,25,13,10,7
"17212","2015/2016",1,"2015-08-22 00:00:00",2,1,"Italy","Italy Serie A","Lazio","Bologna",1.5,4.2,7,14,5,6,2,18,8,2,1,21,9,10,3
"17213","2009/2010",38,"2010-05-16 00:00:00",1,1,"Italy","Italy Serie A","Cagliari","Bologna",1.62,3.25,7,7,2,4,6,8,8,0,1,22,7,5,1
"17214","2015/2016",9,"2015-10-24 00:00:00",1,2,"Italy","Italy Serie A","Carpi","Bologna",2.1,3.2,3.8,4,4,3,9,15,10,4,2,11,14,3,8
"17215","2009/2010",16,"2009-12-13 00:00:00",2,1,"Italy","Italy Serie A","Parma","Bologna",1.8,3.4,4.75,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA
"17216","2010/2011",13,"2010-11-21 00:00:00",4,1,"Italy","Italy Serie A","Napoli","Bologna",1.5,3.75,7.5,9,4,4,5,21,5,NA,NA,21,15,4,7
"17217","2009/2010",36,"2010-05-02 00:00:00",1,1,"Italy","Italy Serie A","Atalanta","Bologna",1.8,3.5,4.5,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA
"17218","2009/2010",29,"2010-03-21 00:00:00",1,0,"Italy","Italy Serie A","Siena","Bologna",2.05,3.25,3.75,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA
"17219","2015/2016",12,"2015-11-07 00:00:00",0,2,"Italy","Italy Serie A","Hellas Verona","Bologna",2.2,3.3,3.4,8,3,5,5,15,10,1,1,39,10,9,4
"17220","2012/2013",32,"2013-04-14 00:00:00",1,1,"Italy","Italy Serie A","Palermo","Bologna",2.1,3.25,3.6,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA
"17221","2011/2012",7,"2011-10-16 00:00:00",0,2,"Italy","Italy Serie A","Novara","Bologna",2,3.3,3.8,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"17222","2013/2014",24,"2014-02-14 00:00:00",1,0,"Italy","Italy Serie A","Milan","Bologna",1.33,5,9,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
"17223","2010/2011",35,"2011-05-01 00:00:00",1,0,"Italy","Italy Serie A","Milan","Bologna",1.2,6.5,13,6,4,4,2,12,19,1,5,14,14,7,3
"17224","2012/2013",34,"2013-04-27 00:00:00",1,1,"Italy","Italy Serie A","Atalanta","Bologna",2.63,2.4,3.8,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"17225","2009/2010",11,"2009-11-01 00:00:00",2,1,"Italy","Italy Serie A","Roma","Bologna",1.67,3.5,5.5,9,2,12,1,14,14,2,2,25,14,17,1
"17226","2008/2009",37,"2009-05-24 00:00:00",0,0,"Italy","Italy Serie A","Chievo Verona","Bologna",3.2,1.57,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17227","2012/2013",5,"2012-09-27 00:00:00",1,0,"Italy","Italy Serie A","Siena","Bologna",2.2,3.1,3.5,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA
"17228","2013/2014",26,"2014-03-02 00:00:00",0,0,"Italy","Italy Serie A","Hellas Verona","Bologna",1.91,3.5,4,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA
"17229","2008/2009",35,"2009-05-10 00:00:00",1,1,"Italy","Italy Serie A","Torino","Bologna",1.91,3.25,4.33,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,NA
"17230","2009/2010",14,"2009-11-29 00:00:00",0,0,"Italy","Italy Serie A","Lazio","Bologna",1.67,3.6,5.25,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA
"17231","2008/2009",24,"2009-02-14 00:00:00",1,1,"Italy","Italy Serie A","Napoli","Bologna",1.57,3.75,6,6,5,3,6,7,15,1,2,17,8,7,3
"17232","2011/2012",22,"2012-02-05 00:00:00",0,0,"Italy","Italy Serie A","Lecce","Bologna",2.3,3.2,3.2,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA
"17233","2011/2012",34,"2012-04-22 00:00:00",1,1,"Italy","Italy Serie A","Milan","Bologna",1.2,6.5,13,9,6,10,4,13,8,3,2,27,9,7,1
"17234","2015/2016",18,"2016-01-06 00:00:00",0,1,"Italy","Italy Serie A","Milan","Bologna",1.5,4.2,7,13,3,6,4,16,11,6,5,25,6,10,0
"17235","2009/2010",2,"2009-08-29 00:00:00",0,0,"Italy","Italy Serie A","Bari","Bologna",2.2,3.1,3.5,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA
"17236","2013/2014",32,"2014-04-05 00:00:00",2,2,"Italy","Italy Serie A","Inter","Bologna",1.36,4.5,9,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"17237","2013/2014",10,"2013-10-30 00:00:00",0,3,"Italy","Italy Serie A","Cagliari","Bologna",1.75,3.5,4.75,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA
"17238","2012/2013",25,"2013-02-17 00:00:00",1,0,"Italy","Italy Serie A","Catania","Bologna",2,3.3,3.8,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"17239","2015/2016",5,"2015-09-23 00:00:00",2,0,"Italy","Italy Serie A","Fiorentina","Bologna",1.5,4,7.5,11,1,6,3,15,12,1,2,34,4,6,0
"17240","2012/2013",8,"2012-10-21 00:00:00",1,0,"Italy","Italy Serie A","Cagliari","Bologna",2,3.3,3.8,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"17241","2015/2016",7,"2015-10-04 00:00:00",3,1,"Italy","Italy Serie A","Juventus","Bologna",1.22,6,16,6,0,7,1,8,10,1,5,19,12,4,2
"17242","2015/2016",38,"2016-05-15 00:00:00",0,0,"Italy","Italy Serie A","Chievo Verona","Bologna",2.15,3.4,3.4,4,8,2,9,16,15,2,1,9,15,5,7
"17243","2013/2014",1,"2013-08-25 00:00:00",3,0,"Italy","Italy Serie A","Napoli","Bologna",1.36,4.75,8.5,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
"17244","2010/2011",19,"2011-01-09 00:00:00",0,2,"Italy","Italy Serie A","Bari","Bologna",2.15,3.2,3.5,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"17245","2011/2012",31,"2012-04-07 00:00:00",0,0,"Italy","Italy Serie A","Cesena","Bologna",3.6,3,2.2,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA
"17246","2008/2009",12,"2008-11-16 00:00:00",1,1,"Italy","Italy Serie A","Siena","Bologna",1.91,3.1,4.5,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"17247","2010/2011",33,"2011-04-17 00:00:00",2,0,"Italy","Italy Serie A","Chievo Verona","Bologna",NA,NA,NA,7,3,11,7,12,21,3,2,19,18,5,5
"17248","2012/2013",14,"2012-11-25 00:00:00",1,0,"Italy","Italy Serie A","Sampdoria","Bologna",2.3,3.1,3.3,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA
"17249","2013/2014",30,"2014-03-26 00:00:00",3,0,"Italy","Italy Serie A","Chievo Verona","Bologna",2.1,3,4,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA
"17250","2011/2012",24,"2012-02-17 00:00:00",0,3,"Italy","Italy Serie A","Inter","Bologna",1.44,4,8,8,3,7,3,17,7,1,1,20,5,7,2
"17251","2009/2010",32,"2010-04-03 00:00:00",3,0,"Italy","Italy Serie A","Inter","Bologna",1.29,5,11,7,2,10,4,9,10,1,1,9,15,2,4
"17252","2015/2016",3,"2015-09-14 00:00:00",2,0,"Italy","Italy Serie A","Sampdoria","Bologna",1.83,3.6,4.5,5,5,5,4,11,16,1,5,8,15,2,5
"17253","2013/2014",36,"2014-05-04 00:00:00",0,0,"Italy","Italy Serie A","Genoa","Bologna",2.5,3.2,2.88,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA
"17254","2008/2009",6,"2008-10-04 00:00:00",2,1,"Italy","Italy Serie A","Inter","Bologna",1.22,6,13,14,7,7,5,15,11,2,2,23,6,11,5
